Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
1700009,Coposa,-68.6942,-20.7086,3760,25.557,32.681,10.405,2.295,2.333,1.395,3.11,0.545,0.265,0.2,0.83,6.325,85.338
1700010,Huara En Fuerte Baquedano,-69.7497,-20.1308,1100,2.267,4.257,0.848,0.105,0.062,0.055,0.385,0.025,0.005,0,0.005,0.23,8.21
170003,Alcerreca retén,-69.66056,-17.9925,3930,37.057,34.405,21.3,3.371,0.995,0.395,1.83,0.545,0.505,0.435,0.615,10.1,110.867
170004,Tacora retén,-69.72444,-17.77194,4091,64.319,64.781,36.257,6.776,1.933,0.71,1.025,2.08,0.83,1.36,1.13,16.985,197.038
1720006,Chiapa,-69.205,-19.5369,3155,15.019,21.957,6.676,1.029,0.481,0.34,1.405,0.145,0.145,0.03,0.01,1.525,48.59
1730007,Q_ Tarapaca En Sibaya,-69.1433,-19.7831,2830,14.995,22.881,6.133,0.505,0.562,0.555,1.875,0.205,0.255,0.04,0.085,1.605,49.476
1730017,Poroma,-69.1831,-19.8719,2880,15.276,26.01,6.643,0.967,0.886,0.585,1.43,0.11,0.255,0.205,0.06,2.69,54.862
1730018,Lagunillas (Pampa Lirima),-68.8369,-19.9333,4020,38.976,48.2,19.867,3.119,1.081,1.24,1.665,0.475,0.225,0.19,1.775,10.37,126.424
1730019,Mocha,-69.2731,-19.8097,2150,3.152,5.29,1.281,0.224,0.057,0.075,0.44,0.025,0.005,0.055,0,0.475,11.029
1730020,Chuzmiza,-69.1833,-19.6831,3400,30.552,45.248,10.176,1.071,1.738,0.9,3.84,0.19,0.655,0.045,0.015,4.705,98.643
1740001,Parca,-69.2033,-20.0122,2650,5.948,9.743,2.248,0.162,0.138,0.14,1.325,0.045,0.025,0.04,0.035,0.44,20.19
1740002,Cerro Colorado,-69.2703,-20.065,2510,2.8,4.843,1.705,0.41,0.276,0.345,0.5,0.18,0.015,0.03,0.255,0.39,11.667
1750003,Mamia,-69.2147,-20.0756,2730,3.224,5.162,1.519,0.31,0.157,0.125,0.25,0.025,0.025,0.015,0.01,0.43,11.21
1770001,Copaquire,-68.8922,-20.9303,3540,11.662,15.114,4.871,0.476,1.929,0.42,2.11,0.545,0.045,0.015,0.115,2.88,39.89
180005,Chacalluta Arica Ap_,-70.3358,-18.3514,63,0.848,1.662,0.443,0.01,0.005,0.085,0.68,0.56,0.2,0,0,0.075,4.49
180006,Chapiquiña retén,-69.53611,-18.395,3390,35.505,40.152,18.581,0.886,0.8,0.39,1.955,0.03,0.52,0.26,0.215,8.295,107.033
180008,Guallatire retén,-69.15417,-18.49722,4251,60.919,59.538,33.352,5.705,0.8,0.41,5.485,3.16,0.255,0.705,2.61,18.62,190.071
180009,Chucuyo retén,-69.32083,-18.21833,4402,110.286,107.967,55.305,11.014,1.01,1.575,4.2,1.055,0.365,1.915,4.425,38.76,335.386
180010,Chilcaya retén,-69.08444,-18.79389,4279,62.052,59.733,34.724,6.01,2.614,1.235,3.065,1.19,0.225,0.8,2.365,14.565,187.462
180011,Codpa retén,-69.74444,-18.83305,1866,3.19,3.624,1.481,0.067,0.048,0.015,0.46,0.005,0.01,0,0,0.2,9.067
180017,Putre_A,-69.5625,-18.2,3532,93.714,99.124,47.39,5.51,1.743,1.035,3.405,0.775,0.895,0.93,0.51,23.785,277.324
180018,Defensa Civil_ Arica,-70.30139,-18.49111,71,0.929,1.805,0.462,0.033,0.038,0.12,0.56,0.555,0.215,0.03,0.015,0.08,4.767
180042,Cerro Sombrero_ Arica,-70.26556,-18.5125,122,1.038,1.824,0.467,0.033,0.038,0.025,0.585,0.545,0.205,0.03,0.04,0.135,4.89
